OriginalCanonicalURL,NewJekyllPath
"http://redelabs-org.github.io/blog/laboratorios-e-redes-desde-uma-perspectiva-das-comunidades-–-comunidades-desde-uma-perspectiva-","/blog/2011/04/14/laboratorios-e-redes-desde-uma-perspectiva-das-comunidades-comunidades-desde-uma-perspectiva-de-laboratorios-em-rede"
"http://redelabs-org.github.io/blog/laboratorios-experimentais-interface-rede-rua","/blog/2011/03/03/laboratorios-experimentais-interface-rede-rua"
"http://redelabs-org.github.io/blog/laboratório-de-inovação-cidadã-recebe-propostas","/blog/2015/07/13/laboratorio-de-inovacao-cidada-recebe-propostas"
"http://redelabs-org.github.io/blog/laboratórios-experimentais-espaços-em-branco-na-educação-formal","/blog/2015/10/13/laboratorios-experimentais-espacos-em-branco-na-educacao-formal"
"http://redelabs-org.github.io/blog/labs-cidadaos","/blog/2013/02/17/labs-cidadaos"
"http://redelabs-org.github.io/blog/labs-experimentais","/blog/2011/09/30/labs-experimentais"
"http://redelabs-org.github.io/blog/labsurlab","/blog/2012/02/26/labsurlab"
"http://redelabs-org.github.io/blog/labsurlab-minga-abierta-y-comun-lab","/blog/2012/03/22/labsurlab-minga-abierta-y-comun-lab"
"http://redelabs-org.github.io/blog/labtolab","/blog/2010/06/07/labtolab"
"http://redelabs-org.github.io/blog/labtolab-diario","/blog/2010/07/12/labtolab-diario"
"http://redelabs-org.github.io/blog/labx-festival-culturadigitalbr","/blog/2012/01/23/labx-festival-culturadigital-br"
"http://redelabs-org.github.io/blog/lugar-e-espaco","/blog/2010/05/28/lugar-e-espaco"
"http://redelabs-org.github.io/blog/mappa-laboratorios-do-mundo-todo","/blog/2012/02/08/mappa-laboratorios-do-mundo-todo"
"http://redelabs-org.github.io/blog/medialab-prado","/blog/2013/07/14/medialab-prado"
"http://redelabs-org.github.io/blog/metas-do-pnc","/blog/2012/01/26/metas-do-pnc"
"http://redelabs-org.github.io/blog/midias-locativas-regiao-amazonica","/blog/2012/02/09/midias-locativas-regiao-amazonica"
"http://redelabs-org.github.io/blog/modelos-e-perspectivas-empyre","/blog/2010/06/28/modelos-e-perspectivas-empyre"
"http://redelabs-org.github.io/blog/mostra-de-labs-deaf-2012","/blog/2011/07/27/mostra-de-labs-deaf"
"http://redelabs-org.github.io/blog/nascentes-de-dados-da-fumaça","/blog/2015/05/17/nascentes-de-dados-da-fumaca"
"http://redelabs-org.github.io/blog/netart-latino-database","/blog/2010/10/18/netart-latino-database"
"http://redelabs-org.github.io/blog/o-futuro-da-cultura-lab","/blog/2015/11/02/o-futuro-da-cultura-lab"
"http://redelabs-org.github.io/blog/o-futuro-dos-laboratorios","/blog/2010/10/17/o-futuro-dos-laboratorios"
"http://redelabs-org.github.io/blog/o-seminario-redelabs","/blog/2010/05/25/o-seminario-redelabs"
"http://redelabs-org.github.io/blog/oficinas-sesc-pompeia","/blog/2014/02/11/oficinas-sesc-pompeia"
"http://redelabs-org.github.io/blog/painel-internacional-laboratorios-experimentais","/blog/2010/12/02/painel-internacional-laboratorios-experimentais"
"http://redelabs-org.github.io/blog/painel-laboratorios-experimentais-anotacoes","/blog/2010/12/02/painel-laboratorios-experimentais-anotacoes"
"http://redelabs-org.github.io/blog/para-que-serve-um-telecentro","/blog/2013/08/05/para-que-serve-um-telecentro"
"http://redelabs-org.github.io/blog/plenaria-do-eixo-arte-digital-relatoria","/blog/2010/07/04/plenaria-do-eixo-arte-digital-relatoria"
"http://redelabs-org.github.io/blog/postura-experimental","/blog/2012/06/20/postura-experimental"
"http://redelabs-org.github.io/blog/premio-brasil-criativo","/blog/2012/02/09/premio-brasil-criativo"
"http://redelabs-org.github.io/blog/projetos-selecionados-para-o-labic","/blog/2015/08/28/projetos-selecionados-para-o-labic"
"http://redelabs-org.github.io/blog/publicando","/blog/2014/08/30/publicando"
"http://redelabs-org.github.io/blog/redelabs-alinhando","/blog/2010/11/30/redelabs-alinhando"
"http://redelabs-org.github.io/blog/redelabs-caminhos-brasileiros-para-cultura-digital-experimental","/blog/2010/06/15/redelabs-caminhos-brasileiros-para-a-cultura-digital-experimental"
"http://redelabs-org.github.io/blog/redelabs-campus-party","/blog/2011/01/16/redelabs-campus-party"
"http://redelabs-org.github.io/blog/redelabs-comecando","/blog/2010/11/15/redelabs-comecando"
"http://redelabs-org.github.io/blog/redelabs-contexto","/blog/2010/04/25/redelabs-contexto"
"http://redelabs-org.github.io/blog/redelabs-laboratórios-experimentais-em-rede","/blog/2014/06/22/redelabs-laboratorios-experimentais-em-rede"
"http://redelabs-org.github.io/blog/redelabs-nao-redelab","/blog/2011/02/28/redelabs-nao-redelab"
"http://redelabs-org.github.io/blog/redelabs-no-forum-da-cultura-digital-2010","/blog/2010/10/19/redelabs-no-forum-da-cultura-digital"
"http://redelabs-org.github.io/blog/redelabs-no-laboratório-de-cidades-sensitivas-labceus","/blog/2015/07/27/rede-labs-no-laboratorio-de-cidades-sensitivas-labceus"
"http://redelabs-org.github.io/blog/redelabs-segunda-etapa","/blog/2014/09/28/rede-labs-segunda-etapa"
"http://redelabs-org.github.io/blog/redelabs-uma-semana","/blog/2010/11/30/redelabs-uma-semana"
"http://redelabs-org.github.io/blog/redelabs-valeu","/blog/2010/11/30/redelabs-valeu"
"http://redelabs-org.github.io/blog/registro-do-encontro-aberto-de-labs-red-bull-basement","/blog/2015/09/02/registro-do-encontro-aberto-de-labs-red-bull-basement"
"http://redelabs-org.github.io/blog/resultado-do-edital-“agentes-de-governo-aberto”-do-programa-são-paulo-aberta","/blog/2015/09/09/resultado-do-edital-agentes-de-governo-aberto-do-programa-sao-paulo-aberta"
"http://redelabs-org.github.io/blog/revisitando-encontro-redelabs-em-2010","/blog/2015/09/09/revisitando-encontro-rede-labs-em"
"http://redelabs-org.github.io/blog/revolucao-digital-ja-chegou-e-depois","/blog/2011/05/28/a-revolucao-digital-ja-chegou-e-depois"
"http://redelabs-org.github.io/blog/segunda-chamada-para-ocupações-do-labceus","/blog/2015/06/08/segunda-chamada-para-ocupacoes-do-labceus"
"http://redelabs-org.github.io/blog/simposio-rumos-arte-cibernetica","/blog/2011/06/30/simposio-rumos-arte-cibernetica"
"http://redelabs-org.github.io/blog/sobre-labs","/blog/2014/04/09/sobre-labs"
"http://redelabs-org.github.io/blog/sobre-labs-e-futuros","/blog/2012/03/11/sobre-labs-e-futuros"
"http://redelabs-org.github.io/blog/tecnoxamanismo-digitofagico","/blog/2011/05/27/tecnoxamanismo-digitofagico"
"http://redelabs-org.github.io/blog/toscolab-utopia","/blog/2011/04/27/toscolab-utopia"
"http://redelabs-org.github.io/blog/transformaking-chamada-aberta","/blog/2015/06/19/transformaking-chamada-aberta"
"http://redelabs-org.github.io/blog/tropixel-labs","/blog/2015/07/11/tropixel-labs"
"http://redelabs-org.github.io/blog/um-resumo-do-brasil-profundo","/blog/2010/06/14/um-resumo-do-brasil-profundo"
"http://redelabs-org.github.io/blog/uma-conversa-com-james-wallbank","/blog/2010/06/02/uma-conversa-com-james-wallbank"
"http://redelabs-org.github.io/blog/video-cachoeira-bahia","/blog/2012/07/11/video-cachoeira-bahia"
"http://redelabs-org.github.io/blog/video-casa-da-cultura-digital","/blog/2012/07/05/video-casa-da-cultura-digital"
"http://redelabs-org.github.io/blog/video-solvendo-e-coagulando","/blog/2012/06/20/video-solvendo-e-coagulando"
"http://redelabs-org.github.io/blog/vídeo-do-painel-internacional-laboratórios-experimentais-2010","/blog/2016/05/31/video-do-painel-internacional-laboratorios-experimentais"
"http://redelabs-org.github.io/blog/wiki","/blog/2010/04/25/wiki"
"http://redelabs-org.github.io/plataforma-redelabs","/plataforma"
"http://redelabs-org.github.io/sobre","/sobre"
